seed,scale,ctc_motion_rmse,ppo_motion_rmse,improvement_percent,residual_torque_rms,torque_rms,residual_torque_ratio
7,1.0,2.7923387438357618e-05,0.008679850808879688,-30984.51948403798,1.5853497395525074,34.63057579816924,0.04577890211217099
17,1.0,2.7923387438357618e-05,0.012536590827075629,-44796.38248493607,1.6704172832431285,34.450521483555725,0.048487430996958035
27,1.0,2.7923387438357618e-05,0.006945759689450865,-24774.344865156505,1.3347183150978383,34.58135814039598,0.03859646893216424
7,1.25,0.01410428042817009,0.008853480010275815,37.22841760439615,1.632616100199022,36.154012514702266,0.0451572588114558
17,1.25,0.01410428042817009,0.010602550554026886,24.827426623972226,1.6673869043589709,36.01014573610453,0.046303253438022426
27,1.25,0.01410428042817009,0.008477504959263676,39.89409809002529,1.4087497599693959,36.10070827732479,0.03902277343556291
7,1.5,0.026674150644443333,0.011980663108622386,55.0851186666813,1.7476853636894725,37.66892726839091,0.046395941971939456
17,1.5,0.026674150644443333,0.012550421316015142,52.949124853841965,1.7190589107875134,37.558303377898106,0.04577040910210886
27,1.5,0.026674150644443333,0.011863512902490774,55.524308681363244,1.5841855586898212,37.61480069507956,0.04211601628656378
7,1.75,0.03803672721639786,0.016269166144527183,57.22774451132733,1.919787469976532,39.175624826508496,0.049004642005798786
17,1.75,0.03803672721639786,0.01684277776322319,55.71969778734757,1.8192572596341268,39.09423135203868,0.0465351842641934
27,1.75,0.03803672721639786,0.015851960583626576,58.324593771062666,1.833262915436622,39.1245232475871,0.04685713111020934
7,2.0,0.04847359228485997,0.020924642569854924,56.83290306423105,2.1338912100021745,40.674313547930815,0.05246286965574936
17,2.0,0.04847359228485997,0.022003037591269415,54.608196846715344,1.9579422535720568,40.61724092329077,0.04820470837174299
27,2.0,0.04847359228485997,0.0200445410383149,58.648533988318576,2.1274513795253682,40.6305675010004,0.05236085810204316
